

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=656:36406946D
 
Bei den Ärztekammern registrierte Ärztinnen und Ärzte mit Gebiets- und Facharztbezeichnung (absolut, je 100.000 Einwohner und Einwohner je Arzt). Gliederungsmerkmale: Jahre, Region, Alter, Geschlecht, Gebiets-/Facharztbezeichnung, Tätigkeitsbereich                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Region:;Deutschland
Geschlecht:;Beide Geschlechter
Tätigkeitsbereich:;Tätigkeitsbereiche insgesamt
Darstellung:;Anzahl Ärzte/Ärztinnen
""
;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"    Augenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"1.939";"1.871";"1.834";"1.872";"1.919";"1.964";"2.055";"2.097";"2.170";"2.220";"2.261";"2.326";"2.412";"2.456";"2.507";"2.520";"2.505";"2.523";"2.495";"2.434";"2.380";"2.316";"2.236";"2.180";"2.128";"2.121";"2.053";
;"       Augenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"1.939";"1.871";"1.834";"1.872";"1.919";"1.964";"2.055";"2.097";"2.170";"2.220";"2.261";"2.326";"2.412";"2.456";"2.507";"2.520";"2.505";"2.523";"2.495";"2.434";"2.380";"2.316";"2.236";"2.180";"2.128";"2.121";"2.053";
;"    Biochemie";".";".";".";".";".";".";".";".";".";".";".";".";"15";"14";"16";"15";"16";"23";"30";"34";"34";"38";"37";"34";"30";"29";"26";"22";"19";"18";"15";"12";"10";"7";"6";"5";"5";"5";"6";
;"       Biochemie";".";".";".";".";".";".";".";".";".";".";".";".";"15";"14";"16";"15";"16";"23";"30";"34";"34";"38";"37";"34";"30";"29";"26";"22";"19";"18";"15";"12";"10";"7";"6";"5";"5";"5";"6";
;"    Chirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"7.526";"7.696";"7.739";"7.850";"8.100";"8.633";"8.910";"9.268";"9.519";"9.718";"10.012";"10.400";"10.951";"11.356";"11.775";"12.123";"12.495";"12.773";"12.922";"13.010";"12.983";"12.789";"12.668";"12.446";"12.259";"12.327";"12.372";
;"       Allgemeinchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"5.190";"5.289";"5.314";"5.371";"5.518";"5.864";"6.014";"6.226";"6.356";"6.427";"6.603";"6.779";"7.090";"7.303";"7.491";"7.479";"7.333";"7.175";"6.858";"6.725";"6.371";"5.988";"5.611";"5.197";"4.679";"4.269";"3.800";
;"       Gefäßchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"8";"28";"60";"95";"147";"213";"230";"296";"319";"381";"447";"516";
;"       Herzchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"3";"5";"6";"7";"23";"48";"74";"90";"104";"129";"153";"196";"258";"287";"341";"388";"405";"449";"488";"496";"494";"485";"467";"455";"424";"406";"417";
;"       Kinderchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"23";"21";"21";"35";"49";"64";"88";"100";"120";"140";"148";"171";"190";"177";"186";"188";"198";"200";"212";"222";"224";"227";"224";"232";"241";"252";"258";
;"       Orthopädie und Unfallchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"2.310";"2.381";"2.398";"2.428";"2.492";"2.599";"2.661";"2.757";"2.834";"2.905";"3.000";"3.120";"3.260";"3.412";"3.542";"3.811";"4.216";"4.493";"4.746";"4.809";"4.952";"4.988";"5.053";"5.063";"5.197";"5.427";"5.649";
;"       Plastische und Ästhetische Chirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"9";"18";"58";"73";"95";"105";"117";"108";"134";"153";"177";"209";"224";"249";"269";"298";"324";"369";"428";"471";"503";"522";"543";"576";
;"       Thoraxchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"6";"13";"21";"31";"43";"63";"77";"96";"115";"133";"138";"155";
;"       Viszeralchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"19";"53";"106";"194";"244";"297";"366";"450";"562";"682";"845";"1.001";
;"    Frauenheilkunde und Geburtshilfe";".";".";".";".";".";".";".";".";".";".";".";".";"4.777";"4.728";"4.616";"4.651";"4.749";"4.888";"4.992";"5.117";"5.202";"5.265";"5.518";"5.673";"5.854";"6.048";"6.208";"6.298";"6.402";"6.436";"6.507";"6.514";"6.363";"6.201";"5.999";"5.815";"5.673";"5.586";"5.436";
;"       Frauenheilkunde und Geburtshilfe";".";".";".";".";".";".";".";".";".";".";".";".";"4.777";"4.728";"4.616";"4.651";"4.749";"4.888";"4.992";"5.117";"5.202";"5.265";"5.518";"5.673";"5.854";"6.048";"6.208";"6.298";"6.402";"6.436";"6.507";"6.514";"6.363";"6.201";"5.999";"5.815";"5.673";"5.586";"5.436";
;"    Hals-Nasen-Ohrenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"1.467";"1.478";"1.439";"1.450";"1.513";"1.582";"1.634";"1.706";"1.781";"1.842";"1.910";"1.980";"2.054";"2.100";"2.136";"2.177";"2.192";"2.187";"2.161";"2.131";"2.076";"2.020";"1.975";"1.922";"1.883";"1.864";"1.848";
;"       Hals-Nasen-Ohrenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"1.467";"1.478";"1.439";"1.450";"1.510";"1.565";"1.611";"1.674";"1.747";"1.798";"1.858";"1.909";"1.982";"2.028";"2.058";"2.102";"2.106";"2.099";"2.058";"2.022";"1.970";"1.911";"1.870";"1.818";"1.784";"1.772";"1.757";
;"       Sprach-, Stimm- und kindliche Hörstörungen";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"3";"17";"23";"32";"34";"44";"52";"71";"72";"72";"78";"75";"86";"88";"103";"109";"106";"109";"105";"104";"99";"92";"91";
;"    Haut- und Geschlechtskrankheiten";".";".";".";".";".";".";".";".";".";".";".";".";"1.297";"1.298";"1.273";"1.307";"1.347";"1.419";"1.483";"1.551";"1.597";"1.652";"1.720";"1.804";"1.893";"1.965";"2.057";"2.134";"2.141";"2.149";"2.165";"2.128";"2.112";"2.077";"2.026";"1.969";"1.906";"1.847";"1.863";
;"       Haut- und Geschlechtskrankheiten";".";".";".";".";".";".";".";".";".";".";".";".";"1.297";"1.298";"1.273";"1.307";"1.347";"1.419";"1.483";"1.551";"1.597";"1.652";"1.720";"1.804";"1.893";"1.965";"2.057";"2.134";"2.141";"2.149";"2.165";"2.128";"2.112";"2.077";"2.026";"1.969";"1.906";"1.847";"1.863";
;"    Humangenetik";".";".";".";".";".";".";".";".";".";".";".";".";"1";"3";"4";"13";"28";"44";"55";"64";"67";"75";"77";"83";"89";"97";"97";"94";"104";"113";"115";"117";"113";"109";"106";"106";"107";"118";"114";
;"       Humangenetik";".";".";".";".";".";".";".";".";".";".";".";".";"1";"3";"4";"13";"28";"44";"55";"64";"67";"75";"77";"83";"89";"97";"97";"94";"104";"113";"115";"117";"113";"109";"106";"106";"107";"118";"114";
;"    Hygiene und Umweltmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"108";"93";"78";"66";"83";"75";"86";"90";"85";"92";"90";"94";"96";"101";"94";"88";"83";"79";"74";"73";"67";"64";"50";"48";"39";"40";"36";
;"       Hygiene und Umweltmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"108";"93";"78";"66";"83";"75";"86";"90";"85";"92";"90";"94";"96";"101";"94";"88";"83";"79";"74";"73";"67";"64";"50";"48";"39";"40";"36";
;"    Innere Medizin";".";".";".";".";".";".";".";".";".";".";".";".";"11.336";"11.211";"11.036";"10.917";"11.076";"11.667";"11.984";"12.416";"12.873";"13.279";"13.758";"14.508";"15.239";"15.870";"16.487";"16.888";"17.341";"17.677";"17.796";"17.746";"17.804";"17.407";"17.176";"16.815";"16.638";"16.772";"16.828";
;"       Innere Medizin";".";".";".";".";".";".";".";".";".";".";".";".";"11.071";"10.953";"10.795";"10.692";"10.824";"11.398";"11.708";"12.141";"12.604";"13.030";"13.526";"14.300";"15.059";"15.709";"16.366";"16.741";"17.145";"17.416";"17.430";"17.188";"16.964";"16.308";"15.722";"14.942";"14.254";"13.802";"13.113";
;"       Innere Medizin und Angiologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2";"5";"7";"12";"17";"24";"32";"39";"64";"90";"101";"116";
;"       Innere Medizin und Endokrinologie und Diabetologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"6";"13";"15";"18";"21";"29";"41";"48";"63";"73";"89";"113";
;"       Innere Medizin und Gastroenterologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"9";"27";"42";"69";"109";"182";"224";"318";"381";"446";"563";"677";
;"       Innere Medizin und Geriatrie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"5";"8";"12";"19";"27";"36";"36";"40";"48";"47";
;"       Innere Medizin und Hämatologie und Onkologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"8";"14";"20";"34";"49";"81";"111";"147";"195";"268";"329";"433";
;"       Innere Medizin und Kardiologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"11";"28";"52";"95";"165";"246";"328";"453";"598";"787";"1.019";"1.326";
;"       Innere Medizin und Nephrologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"4";"11";"20";"35";"62";"96";"123";"169";"218";"268";"338";"421";
;"       Innere Medizin und Pneumologie";".";".";".";".";".";".";".";".";".";".";".";".";"265";"258";"241";"225";"252";"269";"276";"275";"269";"249";"232";"208";"180";"160";"113";"105";"87";"90";"77";"99";"125";"158";"181";"240";"317";"365";"449";
;"       Innere Medizin und Rheumatologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"2";"8";"10";"18";"24";"38";"55";"63";"78";"95";"118";"133";
;"    Kinder- und Jugendmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"3.732";"3.583";"3.484";"3.420";"3.483";"3.652";"3.811";"3.975";"4.070";"4.169";"4.316";"4.426";"4.618";"4.704";"4.749";"4.749";"4.760";"4.714";"4.692";"4.678";"4.644";"4.663";"4.551";"4.574";"4.614";"4.749";"4.773";
;"       Kinder- und Jugendmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"3.732";"3.583";"3.484";"3.420";"3.483";"3.652";"3.811";"3.975";"4.070";"4.169";"4.316";"4.426";"4.618";"4.704";"4.749";"4.749";"4.760";"4.714";"4.692";"4.678";"4.644";"4.663";"4.551";"4.574";"4.614";"4.749";"4.773";
;"    Kinder- und Jugendpsychiatrie und -psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"251";"263";"286";"273";"278";"312";"349";"382";"389";"410";"449";"491";"536";"583";"636";"656";"692";"731";"774";"814";"831";"808";"800";"769";"753";"747";"772";
;"       Kinder- und Jugendpsychiatrie und -psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"251";"263";"286";"273";"278";"312";"349";"382";"389";"410";"449";"491";"536";"583";"636";"656";"692";"731";"774";"814";"831";"808";"800";"769";"753";"747";"772";
;"    Laboratoriumsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"304";"285";"267";"264";"261";"277";"271";"285";"313";"330";"359";"375";"395";"398";"402";"401";"413";"412";"407";"385";"370";"365";"352";"337";"324";"320";"291";
;"       Laboratoriumsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"304";"285";"267";"264";"261";"277";"271";"285";"313";"330";"359";"375";"395";"398";"402";"401";"413";"412";"407";"385";"370";"365";"352";"337";"324";"320";"291";
;"    Mikrobiologie, Virologie, Infektionsepidemiologie";".";".";".";".";".";".";".";".";".";".";".";".";"150";"148";"145";"139";"146";"177";"193";"207";"231";"249";"265";"276";"290";"294";"301";"308";"313";"305";"295";"276";"266";"257";"252";"251";"251";"232";"232";
;"       Mikrobiologie, Virologie und Infektionsepidemiologie";".";".";".";".";".";".";".";".";".";".";".";".";"150";"148";"145";"139";"146";"177";"193";"207";"231";"249";"265";"276";"290";"294";"301";"308";"313";"305";"295";"276";"266";"257";"252";"251";"251";"232";"232";
;"    Mund-Kiefer-Gesichtschirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"316";"331";"336";"351";"380";"410";"420";"424";"459";"485";"518";"557";"605";"627";"662";"660";"696";"709";"700";"673";"678";"662";"661";"636";"600";"606";"602";
;"       Mund-Kiefer-Gesichtschirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"316";"331";"336";"351";"380";"410";"420";"424";"459";"485";"518";"557";"605";"627";"662";"660";"696";"709";"700";"673";"678";"662";"661";"636";"600";"606";"602";
;"    Nervenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"2.693";"2.631";"2.552";"2.511";"2.463";"2.429";"2.261";"2.143";"1.937";"1.808";"1.682";"1.479";"1.308";"1.143";"965";"836";"691";"554";"449";"393";"343";"329";"334";"303";"277";"234";"208";
;"       Nervenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"2.693";"2.631";"2.552";"2.511";"2.463";"2.429";"2.261";"2.143";"1.937";"1.808";"1.682";"1.479";"1.308";"1.143";"965";"836";"691";"554";"449";"393";"343";"329";"334";"303";"277";"234";"208";
;"    Neurochirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"223";"229";"255";"271";"294";"310";"339";"368";"401";"419";"454";"504";"544";"591";"638";"652";"719";"758";"773";"786";"795";"796";"788";"763";"754";"800";"766";
;"       Neurochirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"223";"229";"255";"271";"294";"310";"339";"368";"401";"419";"454";"504";"544";"591";"638";"652";"719";"758";"773";"786";"795";"796";"788";"763";"754";"800";"766";
;"    Neurologie";".";".";".";".";".";".";".";".";".";".";".";".";"362";"403";"433";"452";"483";"520";"583";"673";"818";"832";"1.003";"1.191";"1.340";"1.577";"1.811";"1.989";"2.184";"2.358";"2.504";"2.642";"2.713";"2.739";"2.791";"2.832";"2.835";"2.916";"2.985";
;"       Neurologie";".";".";".";".";".";".";".";".";".";".";".";".";"362";"403";"433";"452";"483";"520";"583";"673";"818";"832";"1.003";"1.191";"1.340";"1.577";"1.811";"1.989";"2.184";"2.358";"2.504";"2.642";"2.713";"2.739";"2.791";"2.832";"2.835";"2.916";"2.985";
;"    Nuklearmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"158";"162";"165";"168";"177";"200";"216";"233";"260";"296";"318";"347";"387";"404";"417";"441";"453";"468";"460";"453";"450";"435";"420";"379";"364";"344";"335";
;"       Nuklearmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"158";"162";"165";"168";"177";"200";"216";"233";"260";"296";"318";"347";"387";"404";"417";"441";"453";"468";"460";"453";"450";"435";"420";"379";"364";"344";"335";
;"    Öffentliches Gesundheitswesen";".";".";".";".";".";".";".";".";".";".";".";".";"266";"287";"332";"352";"372";"436";"470";"483";"466";"453";"424";"406";"388";"352";"298";"270";"235";"209";"176";"159";"149";"128";"121";"114";"97";"93";"92";
;"       Öffentliches Gesundheitswesen";".";".";".";".";".";".";".";".";".";".";".";".";"266";"287";"332";"352";"372";"436";"470";"483";"466";"453";"424";"406";"388";"352";"298";"270";"235";"209";"176";"159";"149";"128";"121";"114";"97";"93";"92";
;"    Pathologie";".";".";".";".";".";".";".";".";".";".";".";".";"387";"356";"344";"340";"362";"404";"434";"454";"484";"530";"540";"563";"591";"612";"615";"623";"614";"625";"600";"558";"555";"534";"510";"498";"489";"477";"484";
;"       Neuropathologie";".";".";".";".";".";".";".";".";".";".";".";".";"5";"5";"10";"7";"5";"8";"9";"11";"15";"24";"29";"34";"33";"38";"42";"48";"50";"54";"58";"54";"52";"46";"51";"49";"47";"47";"40";
;"       Pathologie";".";".";".";".";".";".";".";".";".";".";".";".";"382";"351";"334";"333";"357";"396";"425";"443";"469";"506";"511";"529";"558";"574";"573";"575";"564";"571";"542";"504";"503";"488";"459";"449";"442";"430";"444";
;"    Pharmakologie";".";".";".";".";".";".";".";".";".";".";".";".";"155";"144";"131";"127";"138";"152";"160";"172";"183";"188";"197";"191";"196";"209";"207";"203";"191";"185";"186";"180";"183";"162";"164";"146";"126";"112";"101";
;"       Klinische Pharmakologie";".";".";".";".";".";".";".";".";".";".";".";".";"31";"36";"36";"37";"39";"52";"57";"68";"69";"80";"92";"88";"93";"98";"96";"96";"94";"91";"102";"106";"113";"101";"98";"96";"89";"80";"72";
;"       Pharmakologie und Toxikologie";".";".";".";".";".";".";".";".";".";".";".";".";"124";"108";"95";"90";"99";"100";"103";"104";"114";"108";"105";"103";"103";"111";"111";"107";"97";"94";"84";"74";"70";"61";"66";"50";"37";"32";"29";
;"    Physikalische und Rehabilitative Medizin";".";".";".";".";".";".";".";".";".";".";".";".";"102";"104";"95";"119";"182";"360";"518";"611";"701";"810";"778";"781";"746";"728";"672";"665";"615";"618";"561";"534";"521";"494";"483";"429";"387";"357";"332";
;"       Physikalische und Rehabilitative Medizin";".";".";".";".";".";".";".";".";".";".";".";".";"102";"104";"95";"119";"182";"360";"518";"611";"701";"810";"778";"781";"746";"728";"672";"665";"615";"618";"561";"534";"521";"494";"483";"429";"387";"357";"332";
;"    Physiologie";".";".";".";".";".";".";".";".";".";".";".";".";"25";"17";"14";"18";"23";"31";"33";"38";"43";"46";"47";"52";"51";"48";"46";"43";"41";"34";"32";"27";"27";"21";"24";"20";"19";"18";"21";
;"       Physiologie";".";".";".";".";".";".";".";".";".";".";".";".";"25";"17";"14";"18";"23";"31";"33";"38";"43";"46";"47";"52";"51";"48";"46";"43";"41";"34";"32";"27";"27";"21";"24";"20";"19";"18";"21";
;"    Psychiatrie und Psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"784";"927";"1.041";"1.161";"1.259";"1.383";"1.587";"1.735";"1.968";"2.244";"2.591";"2.955";"3.308";"3.620";"3.963";"4.147";"4.323";"4.503";"4.483";"4.475";"4.357";"4.147";"4.006";"3.715";"3.462";"3.293";"3.148";
;"       Psychiatrie und Psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"784";"927";"1.041";"1.161";"1.259";"1.383";"1.587";"1.735";"1.968";"2.244";"2.591";"2.955";"3.308";"3.620";"3.963";"4.147";"4.323";"4.503";"4.483";"4.475";"4.357";"4.147";"4.006";"3.715";"3.462";"3.293";"3.148";
;"    Psychosomatische Medizin und Psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"21";"21";"10";"77";"247";"636";"1.038";"1.335";"1.399";"1.473";"1.348";"1.249";"1.153";"1.093";"980";"930";"853";"812";"742";"691";"663";"604";"597";"586";"559";"535";"494";
;"       Psychosomatische Medizin und Psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"21";"21";"10";"77";"247";"636";"1.038";"1.335";"1.399";"1.473";"1.348";"1.249";"1.153";"1.093";"980";"930";"853";"812";"742";"691";"663";"604";"597";"586";"559";"535";"494";
;"    Radiologie";".";".";".";".";".";".";".";".";".";".";".";".";"1.740";"1.730";"1.723";"1.735";"1.761";"1.964";"2.095";"2.223";"2.348";"2.449";"2.641";"2.769";"2.849";"2.956";"2.955";"3.005";"3.035";"3.012";"2.973";"2.857";"2.759";"2.680";"2.600";"2.476";"2.381";"2.358";"2.390";
;"       Radiologie";".";".";".";".";".";".";".";".";".";".";".";".";"1.740";"1.730";"1.723";"1.735";"1.761";"1.964";"2.095";"2.223";"2.348";"2.449";"2.641";"2.769";"2.849";"2.956";"2.955";"3.005";"3.035";"3.012";"2.973";"2.857";"2.759";"2.680";"2.600";"2.476";"2.381";"2.358";"2.390";
;"    Rechtsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"62";"69";"68";"71";"75";"72";"75";"79";"81";"79";"77";"83";"83";"81";"84";"86";"82";"84";"79";"81";"77";"78";"71";"65";"63";"64";"65";
;"       Rechtsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"62";"69";"68";"71";"75";"72";"75";"79";"81";"79";"77";"83";"83";"81";"84";"86";"82";"84";"79";"81";"77";"78";"71";"65";"63";"64";"65";
;"    Strahlentherapie";".";".";".";".";".";".";".";".";".";".";".";".";"39";"51";"69";"85";"103";"122";"147";"185";"202";"255";"285";"317";"358";"409";"436";"483";"503";"508";"536";"550";"542";"541";"528";"479";"459";"421";"414";
;"       Strahlentherapie";".";".";".";".";".";".";".";".";".";".";".";".";"39";"51";"69";"85";"103";"122";"147";"185";"202";"255";"285";"317";"358";"409";"436";"483";"503";"508";"536";"550";"542";"541";"528";"479";"459";"421";"414";
;"    Transfusionsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"28";"30";"25";"29";"53";"94";"124";"144";"148";"176";"197";"221";"224";"250";"268";"279";"279";"277";"263";"252";"236";"225";"217";"196";"167";"147";"128";
;"       Transfusionsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"28";"30";"25";"29";"53";"94";"124";"144";"148";"176";"197";"221";"224";"250";"268";"279";"279";"277";"263";"252";"236";"225";"217";"196";"167";"147";"128";
;"    Urologie";".";".";".";".";".";".";".";".";".";".";".";".";"1.316";"1.256";"1.257";"1.257";"1.318";"1.372";"1.428";"1.505";"1.561";"1.651";"1.709";"1.813";"1.886";"1.935";"1.983";"2.052";"2.108";"2.154";"2.161";"2.127";"2.110";"2.025";"1.987";"1.917";"1.836";"1.778";"1.726";
;"       Urologie";".";".";".";".";".";".";".";".";".";".";".";".";"1.316";"1.256";"1.257";"1.257";"1.318";"1.372";"1.428";"1.505";"1.561";"1.651";"1.709";"1.813";"1.886";"1.935";"1.983";"2.052";"2.108";"2.154";"2.161";"2.127";"2.110";"2.025";"1.987";"1.917";"1.836";"1.778";"1.726";
;"    Sonstige Gebiete";".";".";".";".";".";".";".";".";".";".";".";".";"173";"155";"126";"117";"119";"165";"154";"143";"141";"136";"124";"110";"99";"91";"75";"62";"47";"32";"20";"11";"5";"1";"1";"1";"1";"";"";
;"       Sozialhygiene";".";".";".";".";".";".";".";".";".";".";".";".";"64";"58";"36";"33";"33";"30";"29";"27";"26";"22";"17";"17";"16";"14";"11";"8";"5";"5";"2";"1";"";"";"";"";"";"";"";
;"       Sportmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"92";"73";"66";"57";"57";"57";"50";"42";"45";"51";"49";"37";"31";"30";"27";"21";"18";"13";"9";"6";"4";"";"";"";"";"";"";
;"       Sonstige Facharztbezeichnungen";".";".";".";".";".";".";".";".";".";".";".";".";"17";"24";"24";"27";"29";"78";"75";"74";"70";"63";"58";"56";"52";"47";"37";"33";"24";"14";"9";"4";"1";"1";"1";"1";"1";"";"";
;"    Ohne Gebiet";".";".";".";".";".";".";".";".";".";".";".";".";"20.916";"21.949";"22.288";"21.866";"22.658";"21.057";"21.683";"22.035";"22.695";"23.546";"24.268";"25.217";"26.073";"26.010";"24.649";"24.510";"23.959";"23.320";"22.257";"20.996";"19.747";"18.399";"17.562";"16.915";"15.487";"15.105";"14.817";
;"       Ohne Facharztbezeichnung";".";".";".";".";".";".";".";".";".";".";".";".";"19.446";"19.720";"20.302";"18.915";"18.446";"17.505";"17.975";"18.199";"18.799";"19.480";"19.975";"20.840";"21.645";"21.735";"21.744";"21.392";"21.292";"21.079";"20.411";"19.580";"18.697";"17.801";"17.141";"16.683";"15.377";"15.061";"14.799";
;"       Praktische Ärztin/Praktischer Arzt";".";".";".";".";".";".";".";".";".";".";".";".";"1.470";"2.229";"1.986";"2.951";"4.212";"3.552";"3.708";"3.836";"3.896";"4.066";"4.293";"4.377";"4.428";"4.275";"2.905";"3.118";"2.667";"2.241";"1.846";"1.416";"1.050";"598";"421";"232";"110";"44";"18";
"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";".";".";".";".";".";".";".";".";".";".";".";"50.600";"55.987";"61.786";"65.490";"67.394";"68.096";"70.240";"71.906";"73.481";"74.677";"75.697";"76.506";"77.205";"78.726";"83.101";"86.176";"89.421";"92.493";"95.428";"98.174";"101.480";"105.401";"108.362";"111.570";"112.987";"114.692";"115.684";
;"    Allgemeinmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"6.067";"6.792";"7.707";"8.835";"10.124";"11.284";"12.209";"12.920";"13.714";"14.295";"14.804";"15.005";"15.082";"15.311";"16.615";"16.743";"17.237";"17.405";"17.218";"16.920";"16.830";"16.666";"16.701";"16.697";"16.796";"16.943";"16.819";
;"       Allgemeinmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"6.067";"6.792";"7.707";"8.835";"10.124";"11.284";"12.209";"12.920";"13.714";"14.295";"14.804";"15.005";"15.082";"15.311";"16.615";"16.743";"17.237";"17.405";"17.218";"16.920";"16.830";"16.666";"16.701";"16.697";"16.796";"16.943";"16.819";
;"    Anästhesiologie";".";".";".";".";".";".";".";".";".";".";".";".";"2.042";"2.343";"2.606";"2.837";"2.964";"3.148";"3.335";"3.488";"3.580";"3.754";"3.977";"4.162";"4.407";"4.652";"5.058";"5.387";"5.727";"6.044";"6.520";"6.964";"7.444";"7.883";"8.146";"8.448";"8.640";"8.791";"8.974";
;"       Anästhesiologie";".";".";".";".";".";".";".";".";".";".";".";".";"2.042";"2.343";"2.606";"2.837";"2.964";"3.148";"3.335";"3.488";"3.580";"3.754";"3.977";"4.162";"4.407";"4.652";"5.058";"5.387";"5.727";"6.044";"6.520";"6.964";"7.444";"7.883";"8.146";"8.448";"8.640";"8.791";"8.974";
;"    Anatomie";".";".";".";".";".";".";".";".";".";".";".";".";"18";"36";"33";"31";"33";"39";"45";"39";"33";"28";"25";"25";"22";"23";"29";"33";"37";"40";"45";"53";"57";"56";"61";"65";"58";"55";"55";
;"       Anatomie";".";".";".";".";".";".";".";".";".";".";".";".";"18";"36";"33";"31";"33";"39";"45";"39";"33";"28";"25";"25";"22";"23";"29";"33";"37";"40";"45";"53";"57";"56";"61";"65";"58";"55";"55";
;"    Arbeitsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"787";"840";"929";"955";"956";"985";"1.003";"1.020";"1.026";"1.020";"1.005";"1.009";"986";"995";"1.061";"1.101";"1.155";"1.174";"1.207";"1.233";"1.246";"1.280";"1.329";"1.381";"1.419";"1.462";"1.489";
;"       Arbeitsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"787";"840";"929";"955";"956";"985";"1.003";"1.020";"1.026";"1.020";"1.005";"1.009";"986";"995";"1.061";"1.101";"1.155";"1.174";"1.207";"1.233";"1.246";"1.280";"1.329";"1.381";"1.419";"1.462";"1.489";
;"    Augenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"1.511";"1.662";"1.819";"1.899";"1.928";"1.957";"1.972";"2.001";"2.008";"1.992";"1.956";"1.887";"1.838";"1.872";"1.933";"1.971";"2.077";"2.119";"2.186";"2.254";"2.315";"2.382";"2.493";"2.555";"2.579";"2.581";"2.580";
